Ticker,close,date,high,low,month,open,volume,prev_close,daily_return,cumulative_return,Month
ADANIENT,2464.95,2023-10-04,2502.75,2392.25,2023-10,2402.2,2857377,2387.25,0.03254791077599741,0.03254791077599739,2023-10
ADANIENT,2466.35,2023-10-05,2486.5,2446.4,2023-10,2477.95,1132455,2464.95,0.0005679628390028564,0.033134359618808285,2023-10
ADANIENT,2478.1,2023-10-06,2514.95,2466.05,2023-10,2466.35,1510035,2466.35,0.004764125124171346,0.038056340978112724,2023-10
ADANIENT,2442.6,2023-10-09,2459.7,2411.3,2023-10,2440.0,1408224,2478.1,-0.014325491303821476,0.023185673892553993,2023-10
ADANIENT,2498.3,2023-10-10,2517.95,2443.0,2023-10,2443.0,1771910,2442.6,0.022803569966429328,0.04651795999581099,2023-10
ADANIENT,2488.6,2023-10-11,2538.0,2482.5,2023-10,2533.9,1627836,2498.3,-0.0038826401953329353,0.04245470729919343,2023-10
ADANIENT,2506.35,2023-10-12,2521.75,2490.65,2023-10,2499.9,1804818,2488.6,0.00713252431085751,0.049890040841972905,2023-10
ADANIENT,2454.55,2023-10-13,2495.0,2422.35,2023-10,2488.9,2278682,2506.35,-0.020667504538472173,0.028191433657974718,2023-10
ADANIENT,2429.35,2023-10-16,2464.7,2421.85,2023-10,2454.55,803856,2454.55,-0.010266647654356306,0.01763535448738085,2023-10
ADANIENT,2428.4,2023-10-17,2462.0,2423.5,2023-10,2459.95,707543,2429.35,-0.0003910511042047536,0.017237407058330767,2023-10
ADANIENT,2406.35,2023-10-18,2441.75,2401.05,2023-10,2440.0,776977,2428.4,-0.009080052709603105,0.008000837784061243,2023-10
ADANIENT,2402.2,2023-10-19,2414.7,2382.55,2023-10,2400.0,1168822,2406.35,-0.0017246036528352447,0.006262435857157911,2023-10
ADANIENT,2393.75,2023-10-20,2443.95,2382.05,2023-10,2398.05,1240350,2402.2,-0.0035176088585462573,0.002722798198764531,2023-10
ADANIENT,2308.65,2023-10-23,2412.35,2301.8,2023-10,2397.8,1483549,2393.75,-0.03555091383812007,-0.032924913603518347,2023-10
ADANIENT,2257.0,2023-10-25,2348.05,2235.3,2023-10,2320.0,1540819,2308.65,-0.02237238212808355,-0.05456068698292982,2023-10
ADANIENT,2203.2,2023-10-26,2249.0,2167.05,2023-10,2249.0,2226073,2257.0,-0.023836951705804247,-0.07709707822808642,2023-10
ADANIENT,2261.7,2023-10-27,2275.0,2212.0,2023-10,2222.0,1244293,2203.2,0.02655228758169935,-0.05259189443920809,2023-10
ADANIENT,2299.1,2023-10-30,2305.0,2250.0,2023-10,2260.05,996448,2261.7,0.016536233806428834,-0.03692533249554908,2023-10
ADANIENT,2294.65,2023-10-31,2320.0,2276.0,2023-10,2320.0,1155280,2299.1,-0.0019355399939105817,-0.038789402031626063,2023-10
ADANIENT,2217.3,2023-11-01,2312.25,2207.0,2023-11,2299.0,1666579,2294.65,-0.033708844486087165,-0.07119070059692079,2023-11
ADANIENT,2215.3,2023-11-02,2297.95,2204.2,2023-11,2247.0,2340997,2217.3,-0.0009019979254047715,-0.0720284846580791,2023-11
ADANIENT,2229.85,2023-11-03,2279.0,2215.0,2023-11,2215.3,1853300,2215.3,0.006567959192885716,-0.06593360561315298,2023-11
ADANIENT,2246.0,2023-11-06,2260.0,2233.0,2023-11,2253.95,770061,2229.85,0.007242639639437672,-0.05916849931930024,2023-11
ADANIENT,2233.35,2023-11-07,2260.0,2226.65,2023-11,2257.0,641554,2246.0,-0.005632235084594876,-0.06446748350612608,2023-11
ADANIENT,2259.95,2023-11-08,2298.0,2235.0,2023-11,2245.3,1169180,2233.35,0.01191035887791878,-0.05332495549272154,2023-11
ADANIENT,2214.65,2023-11-09,2272.6,2210.1,2023-11,2269.0,1267890,2259.95,-0.02004469125423117,-0.07230076447795541,2023-11
ADANIENT,2205.1,2023-11-10,2237.0,2198.5,2023-11,2220.25,1072597,2214.65,-0.004312193800374859,-0.07630118336998604,2023-11
ADANIENT,2211.35,2023-11-12,2226.0,2205.1,2023-11,2219.7,148320,2205.1,0.0028343385787492634,-0.07368310817886659,2023-11
ADANIENT,2213.65,2023-11-13,2241.9,2195.55,2023-11,2215.5,853633,2211.35,0.0010400886336401664,-0.07271965650853451,2023-11
ADANIENT,2225.4,2023-11-15,2250.0,2220.5,2023-11,2240.0,696475,2213.65,0.005307975515551238,-0.06779767514922996,2023-11
ADANIENT,2205.9,2023-11-16,2232.8,2196.1,2023-11,2226.0,1307584,2225.4,-0.008762469668374224,-0.07596606974552278,2023-11
ADANIENT,2208.8,2023-11-17,2237.95,2201.0,2023-11,2205.9,916518,2205.9,0.0013146561494175124,-0.07475128285684329,2023-11
